Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,1,2024-10-23,28-046,CLE,@,TOR,1,27:40,7,14,.500,2,5,.400,5,7,.714,0,2,2,3,3,1,2,2,21,16.8,+31
,2,2024-10-25,28-048,CLE,,DET,1,30:07,8,21,.381,1,8,.125,2,4,.500,1,1,2,5,0,0,2,3,19,8.0,+11
,3,2024-10-26,28-049,CLE,@,WAS,1,29:18,11,18,.611,6,11,.545,2,3,.667,1,3,4,5,4,0,5,1,30,25.1,+18
,4,2024-10-28,28-051,CLE,@,NYK,1,33:15,9,17,.529,3,8,.375,4,4,1.000,0,2,2,5,0,0,4,3,25,15.6,+7
,5,2024-10-30,28-053,CLE,,LAL,1,30:27,10,20,.500,4,10,.400,0,0,,1,2,3,7,3,0,2,3,24,20.0,+5
,6,2024-11-01,28-055,CLE,,ORL,1,22:04,9,15,.600,2,5,.400,2,2,1.000,0,3,3,1,0,0,1,5,22,13.7,+1
,7,2024-11-02,28-056,CLE,@,MIL,1,34:33,11,25,.440,4,8,.500,4,4,1.000,2,1,3,4,0,0,1,1,30,20.0,-8
,8,2024-11-04,28-058,CLE,,MIL,1,31:05,5,15,.333,3,7,.429,1,2,.500,0,4,4,4,2,0,4,0,14,7.1,+3
,9,2024-11-06,28-060,CLE,@,NOP,1,33:43,10,20,.500,3,9,.333,6,6,1.000,0,4,4,3,1,1,2,1,29,21.6,+4
,10,2024-11-08,28-062,CLE,,GSW,1,26:26,4,13,.308,2,7,.286,2,2,1.000,0,5,5,4,0,0,4,4,12,3.2,+7
,11,2024-11-09,28-063,CLE,,BRK,1,34:32,5,12,.417,4,6,.667,8,8,1.000,0,1,1,1,1,0,1,2,22,15.8,+4
,12,2024-11-11,28-065,CLE,@,CHI,1,34:33,12,26,.462,7,16,.438,5,6,.833,1,7,8,2,4,0,0,2,36,29.6,+7
,13,2024-11-13,28-067,CLE,@,PHI,1,34:23,9,21,.429,5,13,.385,0,0,,2,11,13,9,2,0,0,1,23,24.5,+13
,14,2024-11-15,28-069,CLE,,CHI,1,34:06,12,23,.522,7,13,.538,6,7,.857,0,7,7,4,1,2,1,2,37,30.8,+11
,15,2024-11-19,28-073,CLE,@,BOS,1,40:09,13,29,.448,3,11,.273,6,8,.750,1,7,8,3,0,0,1,4,35,21.4,-14
,16,2024-11-20,28-074,CLE,,NOP,1,19:37,4,10,.400,1,5,.200,1,2,.500,0,2,2,2,2,0,0,1,10,7.8,+12
,17,2024-11-24,28-078,CLE,,TOR,1,34:39,10,18,.556,5,9,.556,1,1,1.000,0,4,4,1,1,0,3,2,26,16.5,+10
,18,2024-11-27,28-081,CLE,,ATL,1,36:25,10,24,.417,4,14,.286,6,8,.750,0,4,4,7,2,1,3,3,30,21.0,0
,19,2024-11-29,28-083,CLE,@,ATL,1,35:03,5,23,.217,2,10,.200,0,0,,2,9,11,6,2,0,2,3,12,5.0,-13
,20,2024-12-01,28-085,CLE,,BOS,1,35:22,12,21,.571,6,11,.545,5,8,.625,1,6,7,3,2,1,3,3,35,27.0,+7
,21,2024-12-03,28-087,CLE,,WAS,1,27:59,6,15,.400,4,8,.500,3,3,1.000,0,5,5,7,3,0,1,2,19,18.5,+27
,22,2024-12-05,28-089,CLE,,DEN,1,32:56,11,24,.458,6,10,.600,0,0,,1,2,3,6,2,2,5,4,28,17.9,+21
,23,2024-12-07,28-091,CLE,@,CHO,1,36:08,6,12,.500,5,10,.500,1,2,.500,1,7,8,8,0,0,3,2,18,16.2,+22
,24,2024-12-08,28-092,CLE,@,MIA,1,30:50,5,16,.313,1,5,.200,1,1,1.000,0,1,1,5,2,0,3,1,12,5.2,-16
,25,2024-12-13,28-097,CLE,,WAS,1,34:19,7,18,.389,4,11,.364,2,3,.667,0,6,6,6,1,0,1,1,20,15.4,+4
,26,2024-12-16,28-100,CLE,@,BRK,1,30:22,6,14,.429,3,10,.300,3,4,.750,0,3,3,5,4,0,1,2,18,16.8,+29
,27,2024-12-20,28-104,CLE,,MIL,1,27:13,9,15,.600,3,7,.429,6,8,.750,0,4,4,6,2,0,0,1,27,26.3,+21
,28,2024-12-21,28-105,CLE,,PHI,1,27:54,7,16,.438,4,10,.400,1,1,1.000,0,4,4,5,0,0,4,0,19,11.3,+8
,29,2024-12-23,28-107,CLE,,UTA,1,33:42,7,15,.467,4,8,.500,4,5,.800,0,3,3,7,3,0,1,2,22,20.9,+17
,30,2024-12-27,28-111,CLE,@,DEN,1,30:21,10,17,.588,6,12,.500,7,7,1.000,2,3,5,6,1,0,3,2,33,28.8,+4
,31,2024-12-30,28-114,CLE,@,GSW,1,27:21,9,19,.474,5,11,.455,0,0,,0,3,3,4,0,0,1,0,23,16.0,+8
,32,2024-12-31,28-115,CLE,@,LAL,1,32:11,8,20,.400,6,13,.462,4,5,.800,1,3,4,4,0,0,3,0,26,16.2,+9
,33,2025-01-03,28-118,CLE,@,DAL,1,26:44,5,11,.455,2,7,.286,3,3,1.000,0,0,0,6,2,0,2,1,15,13.1,+3
,34,2025-01-05,28-120,CLE,,CHO,1,29:16,8,16,.500,3,7,.429,0,0,,0,3,3,4,0,0,1,2,19,12.9,+3
,35,2025-01-08,28-123,CLE,,OKC,1,35:09,3,16,.188,2,7,.286,3,4,.750,1,5,6,4,0,0,1,4,11,3.0,+8
,36,2025-01-12,28-127,CLE,,IND,1,30:50,7,17,.412,3,7,.429,2,2,1.000,2,1,3,1,2,0,3,2,19,10.5,-3
,37,2025-01-14,28-129,CLE,@,IND,1,31:19,12,23,.522,3,9,.333,8,8,1.000,2,7,9,3,2,0,2,3,35,28.1,+13
