Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,697,35,2025-01-04,LAC,,ATL,"W, 131-105",*,19:25,4,11,.364,3,5,.600,1,6,.167,.500,1,3,.333,1,2,3,1,1,0,2,1,12,5.7,22
,698,36,2025-01-06,LAC,@,MIN,"L, 106-108",*,20:41,3,11,.273,2,5,.400,1,6,.167,.364,0,0,,1,1,2,2,1,0,1,1,8,3.5,-17
,699,38,2025-01-13,LAC,,MIA,"W, 109-98",*,20:44,3,9,.333,0,3,.000,3,6,.500,.333,0,0,,1,4,5,1,2,0,0,0,6,5.5,2
,700,39,2025-01-15,LAC,,BRK,"W, 126-67",*,23:49,8,11,.727,0,1,.000,8,10,.800,.727,7,7,1.000,0,2,2,0,1,0,1,0,23,19.1,46
,701,41,2025-01-19,LAC,,LAL,"W, 116-102",*,24:17,9,13,.692,1,3,.333,8,10,.800,.731,0,0,,0,1,1,4,1,0,1,0,19,16.6,20
,702,44,2025-01-23,LAC,,WAS,"W, 110-93",*,23:47,7,16,.438,1,5,.200,6,11,.545,.469,0,0,,0,7,7,1,1,0,3,0,15,7.4,23
,703,45,2025-01-25,LAC,,MIL,"W, 127-117",*,24:28,8,17,.471,2,7,.286,6,10,.600,.529,0,0,,1,2,3,4,0,0,0,2,18,12.6,-13
,704,46,2025-01-27,LAC,@,PHO,"L, 109-111",*,27:56,7,14,.500,1,5,.200,6,9,.667,.536,2,2,1.000,1,4,5,2,2,1,3,2,17,12.2,3
,705,47,2025-01-29,LAC,@,SAS,"W, 128-116",*,28:39,11,19,.579,2,4,.500,9,15,.600,.632,3,3,1.000,1,5,6,7,0,1,1,1,27,24.5,16
,706,48,2025-01-31,LAC,@,CHO,"W, 112-104",*,28:09,8,17,.471,4,7,.571,4,10,.400,.588,1,2,.500,1,8,9,2,1,1,3,3,21,13.9,13
,707,49,2025-02-02,LAC,@,TOR,"L, 108-115",*,26:58,6,18,.333,1,5,.200,5,13,.385,.361,1,4,.250,1,5,6,3,1,0,4,3,14,2.7,-6
,708,50,2025-02-04,LAC,,LAL,"L, 97-122",*,22:26,4,11,.364,1,2,.500,3,9,.333,.409,2,2,1.000,0,6,6,2,0,3,1,0,11,9.2,-12
,709,51,2025-02-06,LAC,,IND,"L, 112-119",*,33:29,7,16,.438,3,6,.500,4,10,.400,.531,2,2,1.000,0,4,4,4,0,1,5,1,19,9.9,-10
,710,52,2025-02-08,LAC,,UTA,"W, 130-110",*,31:17,4,9,.444,0,0,,4,9,.444,.444,2,2,1.000,0,5,5,3,1,0,5,4,10,3.3,-6
,711,53,2025-02-12,LAC,,MEM,"W, 128-114",*,33:47,9,19,.474,2,6,.333,7,13,.538,.526,5,5,1.000,1,4,5,4,3,0,2,1,25,20.6,25
,712,55,2025-02-20,LAC,@,MIL,"L, 110-116",*,32:24,9,22,.409,4,8,.500,5,14,.357,.500,3,3,1.000,0,4,4,4,2,0,1,3,25,17.0,4
,713,58,2025-02-26,LAC,@,CHI,"W, 122-117",*,32:54,6,14,.429,3,5,.600,3,9,.333,.536,2,2,1.000,2,6,8,4,4,1,3,1,17,16.9,-11
,714,59,2025-02-28,LAC,@,LAL,"L, 102-106",*,37:43,8,17,.471,3,8,.375,5,9,.556,.559,2,6,.333,2,2,4,3,2,0,2,1,21,14.4,7
,715,60,2025-03-02,LAC,@,LAL,"L, 102-108",*,39:47,13,23,.565,3,7,.429,10,16,.625,.630,4,5,.800,4,6,10,0,0,0,3,2,33,22.5,-10
,716,61,2025-03-04,LAC,@,PHO,"L, 117-119",*,36:39,9,20,.450,1,6,.167,8,14,.571,.475,2,2,1.000,2,2,4,3,1,1,2,2,21,13.6,4
,717,63,2025-03-07,LAC,,NYK,"W, 105-95",*,37:04,6,18,.333,1,6,.167,5,12,.417,.361,7,8,.875,2,5,7,6,2,0,2,2,20,15.7,3
,718,64,2025-03-09,LAC,,SAC,"W, 111-110 (OT)",*,40:11,7,19,.368,1,7,.143,6,12,.500,.395,2,4,.500,0,4,4,2,1,1,2,2,17,7.2,-3
,719,65,2025-03-11,LAC,@,NOP,"L, 120-127",*,36:19,12,20,.600,4,8,.500,8,12,.667,.700,1,3,.333,1,7,8,3,2,1,1,2,29,24.8,1
,720,67,2025-03-14,LAC,@,ATL,"W, 121-98",*,35:52,11,21,.524,1,4,.250,10,17,.588,.548,2,4,.500,2,4,6,2,5,0,3,3,25,18.7,3
,721,68,2025-03-16,LAC,,CHO,"W, 123-88",*,26:50,9,16,.563,3,4,.750,6,12,.500,.656,2,2,1.000,1,5,6,5,2,1,1,1,23,22.4,21
,722,69,2025-03-18,LAC,,CLE,"W, 132-119",*,35:18,12,19,.632,5,6,.833,7,13,.538,.763,4,4,1.000,1,6,7,4,4,0,2,2,33,31.0,9
,723,70,2025-03-21,LAC,,MEM,"W, 128-108",*,36:34,9,12,.750,1,3,.333,8,9,.889,.792,4,4,1.000,0,10,10,4,0,0,1,1,23,22.6,16
,724,71,2025-03-23,LAC,,OKC,"L, 101-103",*,40:16,10,20,.500,2,4,.500,8,16,.500,.550,3,4,.750,2,8,10,3,1,1,2,0,25,20.2,1
,725,72,2025-03-26,LAC,@,NYK,"W, 126-113",*,40:39,10,18,.556,2,6,.333,8,12,.667,.611,5,5,1.000,2,8,10,7,0,0,0,3,27,25.9,0
