Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,676,1,2024-10-24,DEN,,OKC,"L, 87-102",*,35:12,6,13,.462,1,3,.333,5,10,.500,.500,3,4,.750,4,8,12,13,2,1,3,3,16,21.7,-9
,677,2,2024-10-26,DEN,,LAC,"L, 104-109",*,36:46,14,26,.538,7,12,.583,7,14,.500,.673,6,8,.750,3,6,9,4,2,1,5,2,41,31.2,7
,678,3,2024-10-28,DEN,@,TOR,"W, 127-125 (OT)",*,43:41,18,27,.667,3,5,.600,15,22,.682,.722,1,2,.500,3,7,10,4,1,2,3,2,40,33.5,9
,679,4,2024-10-29,DEN,@,BRK,"W, 144-139 (OT)",*,40:31,9,16,.563,0,0,,9,16,.563,.563,11,13,.846,6,12,18,16,0,1,1,3,29,38.1,8
,680,5,2024-11-01,DEN,@,MIN,"L, 116-119",*,39:42,8,16,.500,2,3,.667,6,13,.462,.563,8,10,.800,2,7,9,13,3,1,3,1,26,30.1,6
,681,6,2024-11-02,DEN,,UTA,"W, 129-103",*,29:42,10,18,.556,3,4,.750,7,14,.500,.639,4,4,1.000,5,11,16,9,1,0,5,1,27,27.1,31
,682,7,2024-11-04,DEN,,TOR,"W, 121-119",*,38:12,10,22,.455,1,5,.200,9,17,.529,.477,7,8,.875,5,9,14,13,1,2,7,2,28,26.1,-1
,683,8,2024-11-06,DEN,,OKC,"W, 124-122",*,39:29,9,20,.450,1,3,.333,8,17,.471,.475,4,6,.667,7,13,20,16,2,2,5,2,23,29.4,8
,684,9,2024-11-08,DEN,,MIA,"W, 135-122",*,40:00,11,13,.846,1,1,1.000,10,12,.833,.885,7,7,1.000,2,9,11,14,2,0,5,2,30,35.4,26
,685,10,2024-11-10,DEN,,DAL,"W, 122-120",*,38:01,13,21,.619,3,3,1.000,10,18,.556,.690,8,8,1.000,8,10,18,15,3,0,4,2,37,44.8,13
,686,14,2024-11-22,DEN,,DAL,"L, 120-123",*,39:28,13,22,.591,2,2,1.000,11,20,.550,.636,5,7,.714,6,11,17,10,0,0,3,0,33,33.5,4
,687,15,2024-11-23,DEN,@,LAL,"W, 127-102",*,36:37,12,20,.600,3,7,.429,9,13,.692,.675,7,8,.875,2,11,13,8,2,1,6,3,34,30.2,39
,688,16,2024-11-25,DEN,,NYK,"L, 118-145",*,31:50,9,20,.450,2,7,.286,7,13,.538,.500,2,2,1.000,3,4,7,7,1,0,0,1,22,20.4,-20
,689,17,2024-11-27,DEN,@,UTA,"W, 122-103",*,33:37,13,19,.684,2,3,.667,11,16,.688,.737,2,3,.667,3,7,10,7,1,1,1,1,30,30.9,20
,690,18,2024-12-01,DEN,@,LAC,"L, 122-126",*,39:04,12,24,.500,2,7,.286,10,17,.588,.542,2,4,.500,3,11,14,11,1,1,5,3,28,23.8,-7
,691,19,2024-12-03,DEN,,GSW,"W, 119-115",*,40:02,14,24,.583,3,4,.750,11,20,.550,.646,7,9,.778,2,8,10,6,5,1,4,1,38,35.3,23
,692,20,2024-12-05,DEN,@,CLE,"L, 114-126",*,38:40,13,26,.500,0,3,.000,13,23,.565,.500,1,1,1.000,3,17,20,11,3,0,3,3,27,27.7,-8
,693,21,2024-12-07,DEN,@,WAS,"L, 113-122",*,38:39,22,39,.564,3,6,.500,19,33,.576,.603,9,13,.692,7,9,16,8,1,0,5,5,56,43.1,-1
,694,22,2024-12-08,DEN,@,ATL,"W, 141-111",*,35:03,17,29,.586,3,6,.500,14,23,.609,.638,11,13,.846,3,11,14,8,3,0,3,2,48,43.9,25
,695,23,2024-12-13,DEN,,LAC,"W, 120-98",*,29:57,6,9,.667,2,2,1.000,4,7,.571,.778,2,4,.500,0,7,7,2,2,0,5,2,16,11.0,14
,696,24,2024-12-16,DEN,@,SAC,"W, 130-129",*,38:18,8,19,.421,1,6,.167,7,13,.538,.447,3,4,.750,2,12,14,13,2,1,5,0,20,21.3,4
,697,25,2024-12-19,DEN,@,POR,"L, 124-126",*,36:37,13,18,.722,4,6,.667,9,12,.750,.833,4,4,1.000,0,6,6,8,1,0,3,4,34,30.4,-5
,698,26,2024-12-22,DEN,@,NOP,"W, 132-129 (OT)",*,42:34,11,20,.550,2,3,.667,9,17,.529,.600,3,5,.600,2,11,13,10,1,1,3,5,27,25.0,6
,699,27,2024-12-23,DEN,,PHO,"W, 117-90",*,29:45,12,17,.706,4,6,.667,8,11,.727,.824,4,5,.800,0,2,2,7,0,0,1,1,32,28.6,19
,700,28,2024-12-25,DEN,@,PHO,"L, 100-110",*,37:48,10,19,.526,2,7,.286,8,12,.667,.579,3,4,.750,5,10,15,2,2,0,2,1,25,22.8,-3
