Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,1,2024-10-24,26-104,OKC,@,DEN,1,36:12,11,24,.458,2,6,.333,4,5,.800,2,5,7,8,2,3,2,2,28,25.0,+8
,2,2024-10-26,26-106,OKC,@,CHI,1,29:30,9,21,.429,2,9,.222,3,3,1.000,2,6,8,2,4,0,1,1,23,19.1,+23
,3,2024-10-27,26-107,OKC,,ATL,1,36:01,11,24,.458,3,8,.375,10,11,.909,2,9,11,9,3,3,1,3,35,35.5,+24
,4,2024-10-30,26-110,OKC,,SAS,1,27:35,7,20,.350,2,10,.200,2,2,1.000,0,4,4,5,1,0,1,1,18,11.1,+3
,5,2024-11-01,26-112,OKC,@,POR,1,28:23,12,18,.667,1,6,.167,5,6,.833,1,6,7,6,1,0,3,1,30,26.1,+25
,6,2024-11-02,26-113,OKC,@,LAC,1,31:20,7,14,.500,2,4,.500,9,9,1.000,0,3,3,9,0,1,3,2,25,22.1,+8
,7,2024-11-04,26-115,OKC,,ORL,1,35:04,8,16,.500,1,3,.333,4,4,1.000,0,6,6,9,1,0,4,4,21,16.5,+18
,8,2024-11-06,26-117,OKC,@,DEN,1,38:49,10,19,.526,0,3,.000,8,10,.800,0,2,2,6,1,1,8,1,28,16.0,+3
,9,2024-11-08,26-119,OKC,,HOU,1,29:02,11,16,.688,1,2,.500,6,7,.857,1,4,5,4,1,1,3,2,29,24.4,+5
,10,2024-11-10,26-121,OKC,,GSW,1,33:44,6,17,.353,0,2,.000,12,14,.857,1,4,5,4,0,1,4,0,24,15.1,-11
,11,2024-11-11,26-122,OKC,,LAC,1,39:21,13,21,.619,4,8,.500,15,16,.938,0,3,3,9,5,2,1,3,45,46.5,+8
,12,2024-11-13,26-124,OKC,,NOP,1,32:37,12,25,.480,3,7,.429,2,3,.667,0,5,5,5,2,2,2,0,29,22.3,+18
,13,2024-11-15,26-126,OKC,,PHO,1,32:56,11,25,.440,2,7,.286,4,4,1.000,3,3,6,4,0,1,2,2,28,18.6,+21
